timestamp_iso,elapsed_s,run_id,controller_type,phase,stage_index,target_temp_c,vessel_temp_c,jacket_temp_c,jacket_minus_vessel_c,heater_pwm_percent,requested_heater_pwm_percent,fan_state,jacket_vessel_gap_warning,safety_limited,safety_reason,ambient_temp_c,pwm_step_start_elapsed_s,seconds_since_pwm_change,arduino_heater_reply,arduino_fan_reply
2026-05-20T13:45:08,38.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,36.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:09,39.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.70,25.40,-1.30,0,0,0,0,0,,26.70,2.21,37.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:10,40.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,38.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:11,41.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,39.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:12,42.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,40.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:13,43.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,41.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:14,44.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,42.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:15,45.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,43.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:16,46.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.70,25.40,-1.30,0,0,0,0,0,,26.70,2.21,44.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:17,47.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.70,25.40,-1.30,0,0,0,0,0,,26.70,2.21,45.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:18,48.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.70,25.40,-1.30,0,0,0,0,0,,26.70,2.21,46.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:19,49.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,47.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:20,50.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,48.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:21,51.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,49.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:22,52.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,50.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:23,53.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,51.00,OK:THERMAL_ACC=00,OK:FAN_OFF
